modelo,accuracy,balanced_accuracy,precision_potable,recall_potable,f1_potable,f1_macro,roc_auc,falso_potavel,falso_nao_potavel
gradient_boosting,0.6326219512195121,0.61578125,0.5287356321839081,0.5390625,0.5338491295938105,0.6153522377528801,0.6561914062499998,123,118
random_forest,0.6417682926829268,0.599375,0.5561497326203209,0.40625,0.46952595936794583,0.5995500913065276,0.6641015625000002,83,152
svm_rbf,0.6128048780487805,0.597421875,0.503731343283582,0.52734375,0.5152671755725191,0.5964660750959042,0.6474267578125,133,121
xgboost,0.5945121951219512,0.5803125,0.48175182481751827,0.515625,0.4981132075471698,0.5789798774308739,0.6452734375,142,124
knn,0.5792682926829268,0.5642968749999999,0.4635036496350365,0.49609375,0.47924528301886793,0.5631520532741399,0.6089208984375,147,129
decision_tree,0.5746951219512195,0.55703125,0.45692883895131087,0.4765625,0.4665391969407266,0.5564635148201732,0.55703125,145,134
logistic_regression,0.5274390243902439,0.528125,0.4171779141104294,0.53125,0.46735395189003437,0.5213482088217295,0.545908203125,190,120
dummy_baseline,0.6097560975609756,0.5,0.0,0.0,0.0,0.3787878787878788,0.5,0,256
